ts_utc,unix,iso_week,weekday,hour_utc,day_of_year,month,quarter,is_month_start,is_quarter_start,kyiv,new_york,checksum,format
2026-06-20T00:06:50+00:00,1781914010,25,6,0,171,6,2,0,0,2026-06-20T03:06:50+03:00,2026-06-19T20:06:50-04:00,476506e07f24,csv-ledger-v1
2026-06-20T05:10:27+00:00,1781932227,25,6,5,171,6,2,0,0,2026-06-20T08:10:27+03:00,2026-06-20T01:10:27-04:00,6465938ea283,csv-ledger-v1
2026-06-20T08:50:59+00:00,1781945459,25,6,8,171,6,2,0,0,2026-06-20T11:50:59+03:00,2026-06-20T04:50:59-04:00,e9424c76959a,csv-ledger-v1
2026-06-20T11:15:13+00:00,1781954113,25,6,11,171,6,2,0,0,2026-06-20T14:15:13+03:00,2026-06-20T07:15:13-04:00,fdd8624f8103,csv-ledger-v1
2026-06-20T13:56:05+00:00,1781963765,25,6,13,171,6,2,0,0,2026-06-20T16:56:05+03:00,2026-06-20T09:56:05-04:00,7c3750562172,csv-ledger-v1
