ts_utc,unix,iso_week,weekday,hour_utc,day_of_year,month,quarter,is_month_start,is_quarter_start,kyiv,new_york,checksum,format
2026-06-11T03:40:22+00:00,1781149222,24,4,3,162,6,2,0,0,2026-06-11T06:40:22+03:00,2026-06-10T23:40:22-04:00,6e7af78b0d63,csv-ledger-v1
2026-06-11T08:43:24+00:00,1781167404,24,4,8,162,6,2,0,0,2026-06-11T11:43:24+03:00,2026-06-11T04:43:24-04:00,a49b32cff1aa,csv-ledger-v1
2026-06-11T12:42:41+00:00,1781181761,24,4,12,162,6,2,0,0,2026-06-11T15:42:41+03:00,2026-06-11T08:42:41-04:00,f80ab058c2e0,csv-ledger-v1
2026-06-11T16:51:44+00:00,1781196704,24,4,16,162,6,2,0,0,2026-06-11T19:51:44+03:00,2026-06-11T12:51:44-04:00,81c666129bef,csv-ledger-v1
2026-06-11T19:33:14+00:00,1781206394,24,4,19,162,6,2,0,0,2026-06-11T22:33:14+03:00,2026-06-11T15:33:14-04:00,a017a45efaa3,csv-ledger-v1
2026-06-11T21:59:52+00:00,1781215192,24,4,21,162,6,2,0,0,2026-06-12T00:59:52+03:00,2026-06-11T17:59:52-04:00,8051d9228e15,csv-ledger-v1
2026-06-11T23:45:25+00:00,1781221525,24,4,23,162,6,2,0,0,2026-06-12T02:45:25+03:00,2026-06-11T19:45:25-04:00,1aa583b95008,csv-ledger-v1
